RTO Code,City,District
GJ3,Rajkot,Rajkot
GJ4,Bhavnagar,Bhavnagar
GJ5,Surat,Surat
GJ6,Vadodara,Vadodara
GJ7,Nadiad,Kheda
GJ8,Palanpur,Banaskantha
GJ9,Himatnagar,Sabarkantha
GJ10,Jamnagar,Jamnagar
GJ11,Junagadh,Junagadh
GJ12,Bhuj (Kutch),Kutch
GJ13,Surendranagar,Surendranagar
GJ14,Amreli,Amreli
GJ15,Valsad,Valsad
GJ16,Bharuch,Bharuch
GJ17,Godhra,Panchmahal
GJ18,Gandhinagar,Gandhinagar
GJ19,Bardoli,Surat
GJ20,Dahod,Dahod
GJ21,Navsari,Navsari
GJ22,Rajpipla,Narmada
GJ23,Anand,Anand
GJ24,Patan,Patan
GJ25,Porbandar,Porbandar
GJ26,Vyara,Tapi
GJ27,Ahmedabad East (Vastral),Ahmedabad
GJ28,Surat (Pal),Surat
GJ29,Vadodara (Darjipura),Vadodara
GJ30,Ahwa (Dang),Dang
GJ31,Modasa (Aravalli),Aravalli
GJ32,Veraval (Gir Somnath),Gir Somnath
GJ33,Botad,Botad
GJ34,Chhota Udepur,Chhota Udepur
GJ35,Lunawada (Mahisagar),Mahisagar
GJ36,Morbi,Morbi
GJ37,Khambhaliya (Devbhumi Dwarka),Devbhumi Dwarka
GJ38,Bavla (Ahmedabad Rural),Ahmedabad
GJ39,Anjar (Kutch),Kutch
RJ1,Ajmer,Ajmer
RJ2,Alwar,Alwar
RJ3,Banswara,Banswara
RJ4,Barmer,Barmer
RJ5,Bharatpur,Bharatpur
RJ6,Bhilwara,Bhilwara
RJ7,Bikaner,Bikaner
RJ8,Bundi,Bundi
RJ9,Chittorgarh,Chittorgarh
RJ10,Churu,Churu
RJ11,Dholpur,Dholpur
RJ12,Dungarpur,Dungarpur
RJ13,Sri Ganganagar,Sri Ganganagar
RJ14,Jaipur (South),Jaipur
RJ15,Jaisalmer,Jaisalmer
RJ16,Jalore,Jalore
RJ17,Jhalawar,Jhalawar
RJ18,Jhunjhunu,Jhunjhunu
RJ19,Jodhpur,Jodhpur
RJ20,Kota,Kota
RJ21,Nagaur,Nagaur
RJ22,Pali,Pali
RJ23,Sikar,Sikar
RJ24,Sirohi,Sirohi
RJ25,Sawai Madhopur,Sawai Madhopur
RJ26,Tonk,Tonk
RJ27,Udaipur,Udaipur
RJ28,Baran,Baran
RJ29,Dausa,Dausa
RJ30,Rajsamand,Rajsamand
RJ31,Hanumangarh,Hanumangarh
RJ32,Kotputli,Kotputli-Behror
RJ33,Ramganj Mandi,Kota
RJ34,Karauli,Karauli
RJ35,Pratapgarh,Pratapgarh
RJ36,Beawar,Beawar
RJ37,Didwana,Didwana-Kuchaman
RJ38,Abu Road,Sirohi
RJ39,Balotra,Balotra
RJ40,Bhiwadi,Alwar
RJ41,Chomu,Jaipur
RJ42,Kishangarh,Ajmer
RJ43,Phalodi,Phalodi
RJ44,Sujangarh,Churu
RJ45,Jaipur (North),Jaipur
RJ46,Bhinmal,Jalore
RJ47,Dudu,Dudu
RJ48,Kekri,Kekri
RJ49,Nohar,Hanumangarh
RJ50,Nokha,Bikaner
RJ51,Shahpura (Bhilwara),Shahpura (Bhilwara)
RJ52,Shahpura (Jaipur),Jaipur
RJ53,Khetri,Jhunjhunu
RJ54,Pipar,Jodhpur
RJ55,Pokhran,Jaisalmer
RJ56,Sadulshahar,Sri Ganganagar
RJ57,Sumerpur,Pali
RJ58,Salumber,Salumber
RJ59,Shahpura (Jaipur),Jaipur
RJ60,Jaipur (East),Jaipur
RJ61,Sanchore,Sanchore
RJ62,Deedwana-Kuchaman,Deedwana-Kuchaman
RJ63,Gangapur City,Gangapur City
RJ64,Bayana,Bharatpur
RJ65,Khairthal,Khairthal-Tijara
RJ66,Salasar,Churu
RJ67,Kekri,Kekri
RJ68,Anupgarh,Anupgarh
RJ69,Jodhpur Rural,Jodhpur
RJ70,Jodhpur City (West),Jodhpur
RJ71,Jaipur City (East),Jaipur
RJ72,Jaipur City (West),Jaipur
RJ73,Kota City (North),Kota
RJ74,Kota City (South),Kota
UP11,Saharanpur,Saharanpur
UP12,Muzaffarnagar,Muzaffarnagar
UP13,Bulandshahr,Bulandshahr
UP14,Ghaziabad,Ghaziabad
UP15,Meerut,Meerut
UP16,Gautam Buddh Nagar (Noida),Gautam Buddh Nagar
UP17,Bagpat,Baghpat
UP18,Greater Noida,Gautam Buddh Nagar
UP19,Shamli,Shamli
UP20,Bijnor,Bijnor
UP21,Moradabad,Moradabad
UP22,Rampur,Rampur
UP23,Amroha (Jyotiba Phule Nagar),Amroha
UP24,Badaun,Budaun
UP25,Bareilly,Bareilly
UP26,Pilibhit,Pilibhit
UP27,Shahjahanpur,Shahjahanpur
UP28,Ayodhya,Ayodhya
UP30,Hardoi,Hardoi
UP31,Lakhimpur Kheri,Lakhimpur Kheri
UP32,Lucknow,Lucknow
UP32A,Lucknow (Trans Gomti Office),Lucknow
UP33,Raebareli,Rae Bareli
UP34,Sitapur,Sitapur
UP35,Unnao,Unnao
UP36,Amethi,Amethi
UP37,Hapur,Hapur
UP38,Sambhal,Sambhal
UP40,Bahraich,Bahraich
UP41,Barabanki,Barabanki
UP42,Faizabad,Ayodhya
UP43,Gonda,Gonda
UP44,Sultanpur,Sultanpur
UP45,Ambedkar Nagar,Ambedkar Nagar
UP46,Shravasti,Shravasti
UP47,Balrampur,Balrampur
UP50,Azamgarh,Azamgarh
UP51,Basti,Basti
UP52,Deoria,Deoria
UP53,Gorakhpur,Gorakhpur
UP54,Mau,Mau
UP55,Siddharthnagar,Siddharthnagar
UP56,Maharajganj,Maharajganj
UP57,Padrauna (Kushinagar),Kushinagar
UP58,Sant Kabir Nagar,Sant Kabir Nagar
UP60,Ballia,Ballia
UP61,Ghazipur,Ghazipur
UP62,Jaunpur,Jaunpur
UP63,Mirzapur,Mirzapur
UP64,Sonbhadra,Sonbhadra
UP65,Varanasi,Varanasi
UP65A,Varanasi (Cantt),Varanasi
UP66,Bhadohi (Sant Ravidas Nagar),Sant Ravidas Nagar
UP67,Chandauli,Chandauli
UP70,Prayagraj (Allahabad),Prayagraj
UP71,Fatehpur,Fatehpur
UP72,Pratapgarh,Pratapgarh
UP73,Kaushambi,Kaushambi
UP74,Kannauj,Kannauj
UP75,Etawah,Etawah
UP76,Farrukhabad,Farrukhabad
UP77,Kanpur Dehat,Kanpur Dehat
UP78,Kanpur Nagar,Kanpur Nagar
UP79,Auraiya,Auraiya
UP80,Agra,Agra
UP81,Aligarh,Aligarh
UP82,Etah,Etah
UP83,Firozabad,Firozabad
UP84,Mainpuri,Mainpuri
UP85,Mathura,Mathura
UP86,Hathras (Mahamaya Nagar),Hathras
UP87,Kasganj (Kanshiram Nagar),Kasganj
UP90,Banda,Banda
UP91,Hamirpur,Hamirpur
UP92,Orai (Jalaun),Jalaun
UP93,Jhansi,Jhansi
UP94,Lalitpur,Lalitpur
UP95,Mahoba,Mahoba
UP96,Chitrakoot Dham (Karwi),Chitrakoot
BR1,Patna,Patna
BR2,Gaya,Gaya
BR3,Arrah,Bhojpur
BR4,Chhapra,Saran
BR5,Motihari,East Champaran
BR6,Muzaffarpur,Muzaffarpur
BR7,Darbhanga,Darbhanga
BR8,Munger,Munger
BR9,Begusarai,Begusarai
BR10,Bhagalpur,Bhagalpur
BR11,Purnia,Purnia
BR19,Saharsa,Saharsa
BR21,Bihar Sharif,Nalanda
BR22,Bettiah,West Champaran
BR24,Dehri,Rohtas
BR25,Jehanabad,Jehanabad
BR26,Aurangabad,Aurangabad
BR27,Nawada,Nawada
BR28,Gopalganj,Gopalganj
BR29,Siwan,Siwan
BR30,Sitamarhi,Sitamarhi
BR31,Hajipur,Vaishali
BR32,Madhubani,Madhubani
BR33,Samastipur,Samastipur
BR34,Khagaria,Khagaria
BR37,Kishanganj,Kishanganj
BR38,Araria,Araria
BR39,Katihar,Katihar
BR43,Madhepura,Madhepura
BR44,Buxar,Buxar
BR45,Bhabua,Kaimur
BR46,Jamui,Jamui
BR50,Supaul,Supaul
BR51,Banka,Banka
BR52,Sheikhpura,Sheikhpura
BR53,Lakhisarai,Lakhisarai
BR55,Sheohar,Sheohar
BR56,Arwal,Arwal
BR57,Rohtas (Sasaram),Rohtas
JH1,Ranchi,Ranchi
JH2,Hazaribagh / Ramgarh,Hazaribagh / Ramgarh (Ramgarh was carved out of Hazaribagh)
JH3,Daltonganj (Palamau),Palamau
JH4,Dumka,Dumka
JH5,Jamshedpur,East Singhbhum
JH6,Chaibasa,West Singhbhum
JH7,Gumla,Gumla
JH8,Lohardaga,Lohardaga
JH9,Bokaro Steel City,Bokaro
JH10,Dhanbad,Dhanbad
JH11,Giridih,Giridih
JH12,Koderma,Koderma
JH13,Chatra,Chatra
JH14,Garhwa,Garhwa
JH15,Deoghar,Deoghar
JH16,Pakur,Pakur
JH17,Godda,Godda
JH18,Sahibganj,Sahibganj
JH19,Latehar,Latehar
JH20,Simdega,Simdega
JH21,Jamtara,Jamtara
JH22,Saraikela-Kharsawan,Saraikela-Kharsawan
JH23,Khunti,Khunti
JH24,Ramgarh,Ramgarh
WB1,Kolkata Beltala (2-wheelers),Kolkata
